대상,정격용량,년,월,일,시,인버터출력,경사일사량,수평일사량,표면온도,주위온도
경기도연성,1490,2016,1,12,16,298,76,52,8,4
경기도연성,1490,2016,1,12,17,30,38,0,1,2
경기도연성,1490,2016,1,12,18,0,0,0,-1,1
경기도연성,1490,2016,1,12,19,0,0,0,-3,0
경기도연성,1490,2016,1,12,20,0,11,0,-3,0
경기도연성,1490,2016,1,12,21,0,0,0,1,2
경기도연성,1490,2016,1,12,22,0,0,0,1,1
경기도연성,1490,2016,1,12,23,0,0,0,-1,0
경기도연성,1490,2016,1,13,0,0,11,0,-3,-1
경기도연성,1490,2016,1,13,1,0,0,0,-3,-2
경기도연성,1490,2016,1,13,2,0,0,0,-4,-2
경기도연성,1490,2016,1,13,3,0,0,0,-5,-3
경기도연성,1490,2016,1,13,4,0,11,0,-4,-3
경기도연성,1490,2016,1,13,5,0,28,0,-3,-2
경기도연성,1490,2016,1,13,6,0,0,0,-3,-2
경기도연성,1490,2016,1,13,7,0,0,0,-3,-2
경기도연성,1490,2016,1,13,8,16,0,0,-5,-3
경기도연성,1490,2016,1,13,9,165,86,31,6,1
경기도연성,1490,2016,1,13,10,298,143,79,12,3
경기도연성,1490,2016,1,13,11,963,258,129,17,5
경기도연성,1490,2016,1,13,12,1068,258,167,21,8
경기도연성,1490,2016,1,13,13,781,165,146,18,8
경기도연성,1490,2016,1,13,14,408,95,81,11,6
경기도연성,1490,2016,1,13,15,177,21,26,6,4
경기도연성,1490,2016,1,13,16,0,19,0,4,3
경기도연성,1490,2016,1,13,17,0,0,0,4,3
경기도연성,1490,2016,1,13,18,0,14,0,3,3
경기도연성,1490,2016,1,13,19,0,0,0,2,2
경기도연성,1490,2016,1,13,20,0,0,0,2,2
경기도연성,1490,2016,1,13,21,0,0,0,2,2
경기도연성,1490,2016,1,13,22,0,0,0,1,1
경기도연성,1490,2016,1,13,23,0,0,0,-1,0
경기도연성,1490,2016,1,14,0,0,0,0,-2,-1
경기도연성,1490,2016,1,14,1,0,0,0,-2,-2
경기도연성,1490,2016,1,14,2,0,21,0,-4,-3
경기도연성,1490,2016,1,14,3,0,19,0,-4,-3
경기도연성,1490,2016,1,14,4,0,0,0,-3,-2
경기도연성,1490,2016,1,14,5,0,0,0,-3,-3
경기도연성,1490,2016,1,14,6,0,0,0,-5,-4
